工号,层级,物料编码,物料描述,批次,特性值
Z161264527,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264527,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264527,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264532,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264532,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264532,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264534,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264534,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264537,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264537,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264542,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264542,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264542,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264544,1,A599019580,下导靴装配_C0044390_A_RP-160F1,,
Z161264544,2,A599000067,导靴装配_16501278_A_22500512_A_RP-160F1,,
Z161264548,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264548,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264548,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264551,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264551,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264551,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264553,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264553,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264553,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264556,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264556,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264556,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264558,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264558,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264558,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264563,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264563,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264563,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264564,1,A599019580,下导靴装配_C0044390_A_RP-160F1,,
Z161264564,2,A599000067,导靴装配_16501278_A_22500512_A_RP-160F1,,
Z161264565,1,A599019580,下导靴装配_C0044390_A_RP-160F1,,
