"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"18G096007-B03-01","HGE-Ⅲ-825-CO90","Z161267861","立柱组合","1","2019/6/9 0:00","2019/6/6","2","6","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G039251-B03-01","MCA-Ⅱ-1050-CO150","Z161267875","立柱组合","1","2019/6/9 0:00","2019/6/6","2","35","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G108431-B03-01","HGP-S-825-CO105","Z161267876","立柱组合","1","2019/6/9 0:00","2019/6/6","2","18","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"18G120833-B03-01","MCA-Ⅱ-825-CO120","Z161269107","立柱组合","1","2019/6/9 0:00","2019/6/6","1","64","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"18G120832-B03-01","MCA-Ⅱ-1050-CO120","Z161269088","立柱组合","1","2019/6/9 0:00","2019/6/6","1","63","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"18G120829-B03-01","MCA-Ⅱ-1050-CO120","Z161269088","立柱组合","1","2019/6/9 0:00","2019/6/6","2","37","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"18G120828-B03-01","MCA-Ⅱ-825-CO120","Z161269107","立柱组合","1","2019/6/9 0:00","2019/6/6","1","65","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"18G120830-B03-01","MCA-Ⅱ-825-CO120","Z161269107","立柱组合","1","2019/6/9 0:00","2019/6/6","2","38","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"18G120831-B03-01","MCA-Ⅱ-825-CO120","Z161269107","立柱组合","1","2019/6/9 0:00","2019/6/6","2","39","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"18G060352-B03-01","HGE-S-825-CO105","Z161269131","立柱组合","1","2019/6/9 0:00","2019/6/6","1","34","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G060353-B03-01","HGE-S-825-CO105","Z161269131","立柱组合","1","2019/6/9 0:00","2019/6/6","1","35","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G065827-B03-01","HGE-Ⅲ-1050-CO90","Z161267905","立柱组合","1","2019/6/9 0:00","2019/6/6","2","7","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G060354-B03-01","HGE-S-825-CO105","Z161269131","立柱组合","1","2019/6/9 0:00","2019/6/6","2","8","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G060355-B03-01","HGE-S-825-CO105","Z161269131","立柱组合","1","2019/6/9 0:00","2019/6/6","2","9","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"19R000610-B03-01","LGE-825-CO60","A571259271","上横梁装配_C0104085_D_轿内宽1300","1","2019/6/9 0:00","2019/6/6","1","13","","","",""
"18G065827-B03-01","HGE-Ⅲ-1050-CO90","Z151263879","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","7","","","",""
"18G118991-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","1","16","","","",""
"19G007650-B03-01","MCA-Ⅱ-1150-CO150","Z151263885","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","76","","","",""
"17G077693-B03-01","HGP-S-1050-CO105","Z151263951","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","58","","","",""
"18G072672-B03-01","HGE-Ⅲ-1050-CO90","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","27","","","",""
